Location,LAI_drone,LAI_Licor
7,2.839,3.45
5,2.504,3.21
17,2.51,2.81
1,1.885,2.66
13,2.384,2.63
11,2.743,2.56
2,2.965,2.34
3,1.798,2.26
10,2.466,1.81
8,2.396,1.68
20,1.834,1.63
14,1.722,1.63
12,1.91,1.58
18,1.731,1.49
19,2.479,1.49
9,3.076,1.47
0,2.881,1.32
21,1.695,1.09
16,2.349,1.06
4,1.597,0.79
